--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr2,bbr,9,10,12635643,12766652,1480411,1230202,14531989,14619795,117,103,81,109,20997574,22085536,28886.76917948651,2270
bbr2,bbr,9,10,10725169,13109576,1395015,1323886,14268228,15944234,116,104,82,110,20729259,21919035,28024.568161279924,2271
bbr2,bbr,9,12,13046278,12572196,1420599,1294373,14075223,19239663,115,88,81,108,21342262,22555665,28495.858582736117,2272
bbr2,bbr,9,9,12793321,12908602,1442396,1402740,13298803,18450422,106,102,87,115,20859649,22797500,31432.55829290263,2273
bbr2,bbr2,9,8,12478679,12739609,1372386,1349751,13829751,18771814,114,88,80,112,20533461,22368148,33604.341167501974,2274
bbr2,bbr,9,10,13256300,12411308,1301143,1232729,14380699,17944716,116,120,81,113,21138254,21642755,29461.540514759905,2275
bbr2,bbr,9,10,11938211,12978511,1411064,758173,14548973,19102029,98,87,80,111,21380159,22268302,31423.115217979255,2276
bbr2,bbr,9,10,12989003,13227602,1556974,1292903,13540793,19059778,100,118,82,109,21077157,21930626,27952.83950008431,2277
bbr2,bbr,9,12,12072994,12836432,1465088,1310025,13927588,18543144,112,105,80,114,20369025,22515092,28343.73170149064,2278
bbr2,bbr,9,11,13144868,12479926,1494059,773090,14328170,18229863,117,116,82,111,21280375,22177183,35274.54584370405,2279
bbr2,bbr,9,10,13267049,13824262,1770706,1367417,14149275,19235155,113,106,81,108,20732780,21713785,27675.794375965637,2280
bbr2,bbr,9,10,12786408,12655074,939884,795557,13375517,18777189,116,102,80,109,20887394,22029749,28427.190256564925,2281
reno,reno,9,9,11797084,15786380,1381272,1263658,14574896,18305954,93,100,82,107,21398315,22858828,31415.183653903772,2282
bbr2,bbr,9,8,12907856,13062085,1431663,1341994,13771830,17776148,114,109,83,110,21079160,22581854,31680.205687370606,2283
